# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Blog Guanabara
# ----------------------------------------
# 
# Origem / mídia da sessão corresponde exatamente a google / organic, bing / organic, chatgpt.com / (not set), chatgpt.com / referral, duckduckgo / organic, ecosia.org / organic, copilot.com / referral, yahoo / organic
# Data de início: 20250101
# Data de término: 20260524
Título da página e classe da tela,Página de destino + string de consulta,Visualizações,Sessões,Novos usuários,Usuários recorrentes,Taxa de novos usuários,Taxa de engajamento,Taxa de rejeição,Tempo médio de engajamento por usuário ativo
Saiba como funciona o cancelamento e remarcação de viagens com a Guanabara - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1415,1265,1103,98,0.9865831842576028,0.5707509881422925,0.42924901185770753,33.494633273703045
Saiba como comprar passagem de ônibus da Guanabara,/comprar-passagem-de-onibus-guanabara/,1035,930,868,30,1,0.4376344086021505,0.5623655913978495,11.259216589861751
Quem tem direito à gratuidade para viajar de Guanabara?,/gratuidade-viagens-de-onibus-guanabara/,726,651,597,37,0.9933444259567388,0.5130568356374808,0.4869431643625192,43.96838602329451
Guia completo para viajar de ônibus com crianças - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,260,244,193,25,0.9846938775510204,0.430327868852459,0.569672131147541,48.454081632653065
Quais documentos devo levar para embarcar? - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,234,208,176,24,0.9777777777777777,0.41346153846153844,0.5865384615384616,34.49444444444445
Guanabara anuncia novos pontos de embarque no Rio de Janeiro - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,192,177,157,9,0.9936708860759493,0.5028248587570622,0.4971751412429379,18.645569620253166
Restaurantes românticos em Fortaleza - Blog Guanabara,/restaurantes-romanticos-em-fortaleza/,155,138,126,9,1,0.6014492753623188,0.39855072463768115,40.666666666666664
Lençóis Maranhenses se tornam Patrimônio Natural da Humanidade,/lencois-maranhenses-patrimonio-da-humanidade/,129,125,118,3,1,0.384,0.616,10.313559322033898
10 Curiosidades Incríveis sobre Fortaleza - Blog Guanabara,/10-curiosidades-incriveis-sobre-fortaleza/,115,109,99,8,0.99,0.5412844036697247,0.45871559633027525,35.93
As 9 casas de show mais badaladas do Brasil,/casas-de-show-brasil/,110,104,102,2,1,0.41346153846153844,0.5865384615384616,12.911764705882353
"10 fatos curiosos de Recife, Pernambuco - Blog Guanabara",/10-fatos-curiosos-de-recife-pernambuco/,94,91,85,3,0.9883720930232558,0.5824175824175825,0.4175824175824176,34.91860465116279
"10 Curiosidades sobre Salvador, na Bahia - Blog Guanabara",/10-curiosidades-sobre-salvador-na-bahia/,74,64,58,3,1,0.609375,0.390625,50.672413793103445
Arquivo de Destinos - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,72,62,0,0,0,1,0,9.435483870967742
Início - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,72,56,0,0,0,1,0,12.625
17 destinos baratos para você conhecer no Nordeste brasileiro - Blog Guanabara,/17-destinos-baratos-para-voce-conhecer-no-nordeste-brasileiro/,68,66,63,2,1,0.6060606060606061,0.3939393939393939,54.17460317460318
Início - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,63,44,0,1,0,1,0,13.627906976744185
Guanabara recebe primeiros os ônibus de 15 metros! - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,61,59,56,0,1,0.3559322033898305,0.6440677966101694,21.107142857142858
